"","lat","long","sand","clay","coarse","pH_in_H2O","LU","NPP","OC09","OC15","OC18","SOC09","uSOC09","SOC15","uSOC15","SOC18","uSOC18"
"1","47.74578","17.03535","32","29","25","7.84","CR","5.7495","51.7","45.3","30","9.32299941473366","0.932299941473366","8.43852155089388","0.843852155089388","6.160117532295","0.843852155089388"
"2","40.12546","22.04372","43","19","23","7.39","C10","6.1155","67.5","45.7","74.9","11.8426290946504","1.18426290946504","8.78683205270985","0.878683205270986","12.8568682970024","0.878683205270986"
"3","40.30679","22.05448","69","10","19","7.9","SHR","5.6425","17.2","9.7","11.2","4.29543761403408","0.429543761403408","2.60325177446171","0.260325177446171","2.96081065306182","0.260325177446171"
"4","40.21755","22.0375","73","12","24","6.43","E20","5.1595","8","4.3","4.6","2.10123174590918","0.210123174590918","1.1730706132051","0.11730706132051","1.25096916135674","0.11730706132051"
"5","40.34533","22.03807","28","28","7","7.76","CR","5.949","21.1","5.6","22.8","5.19240484473944","0.519240484473944","1.63494499911123","0.163494499911123","5.52062380465521","0.163494499911123"
"6","40.00905","21.95081","64","7","25","6.73","C10","5.4065","14","9.5","9.1","3.42890752636944","0.342890752636944","2.42758198129542","0.242758198129542","2.33447678593128","0.242758198129542"
"7","40.12468","21.90154","65","7","33","6.96","SHR","6.045","19.6","6.7","16.7","4.27603731440411","0.427603731440411","1.63276837524391","0.163276837524391","3.72829936950828","0.163276837524391"
"8","40.37744","21.92534","7","30","6","8.26","CR","4.826","19.4","37.2","23.6","4.76538471252001","0.476538471252001","7.81599752616033","0.781599752616033","5.56079415103243","0.781599752616033"
"9","40.27035","21.90515","39","26","15","7.91","E10","4.175","26.3","2.2","32.3","5.98310285467792","0.598310285467792","0.640081964714868","0.0640081964714868","7.01016199118353","0.0640081964714868"
"10","40.3117","21.86546","19","42","33","8.22","CR","5.0925","16.7","16.7","22.2","3.51376563638314","0.351376563638314","3.51376563638314","0.351376563638314","4.45698205782065","0.351376563638314"
"11","40.15123","21.83517","12","38","5","7.92","CR","4.0155","10.5","1.3","17.1","2.86014271080487","0.286014271080487","0.398351115525471","0.0398351115525471","4.32192785092677","0.0398351115525471"
"12","40.1209","21.78252","24","33","6","7.68","SHR","5.4735","25.9","23.7","32","6.07479252242899","0.607479252242899","5.67216247726203","0.567216247726203","7.12645665176822","0.567216247726203"
"13","39.94507","21.72646","29","25","26","7.78","CR","5.8925","16.7","15.3","17.4","3.79872461881618","0.379872461881618","3.52569144598959","0.352569144598959","3.93278664250736","0.352569144598959"
"14","40.39715","21.76267","30","21","24","8.07","CR","4.383","32.5","21.2","50.2","6.62591040414176","0.662591040414176","4.720845633867","0.4720845633867","9.21641675373485","0.4720845633867"
"15","40.11143","21.70976","23","41","23","7.13","CR","4.2495","38.3","24.6","24.6","7.37602324644635","0.737602324644635","5.24621254502921","0.524621254502921","5.24621254502921","0.524621254502921"
"16","40.0221","21.69336","39","29","24","7.32","SHR","5.1135","36.6","8.5","15.4","7.28297995958955","0.728297995958955","2.14178922353434","0.214178922353434","3.62371140028503","0.214178922353434"
"17","39.9149","21.67377","31","17","21","7.83","C10","5.8415","27.1","32.3","31.1","5.89130028349026","0.589130028349026","6.7524560762103","0.67524560762103","6.55832555117543","0.67524560762103"
"18","40.61697","21.75618","39","21","15","8.09","CR","4.767","13.6","13.3","14.5","3.49300359890411","0.349300359890411","3.42651071680543","0.342651071680543","3.69015982458372","0.342651071680543"
"19","40.52772","21.73947","14","34","16","8.21","CR","4.8045","11.4","12","16","2.88414249283985","0.288414249283985","3.01614669653862","0.301614669653862","3.85569551536699","0.301614669653862"
"20","40.29559","21.69635","58","18","29","7.49","E20","4.237","15.2","5.6","5.5","3.52000419800884","0.352000419800884","1.41972042541362","0.141972042541362","1.39577396906751","0.141972042541362"
